nama_tps,alamat,kelurahan,kecamatan,wilayah,jenis_tps,luas_lahan(m2),status_lahan,volume_sampah_rata_rata_per_hari(m3)
Lps Asrama Polisi Rw. 09,Jl. Cideng Barat,Cideng,Gambir,Jakarta Pusat,Bak Beton,14,Asrama Polisi,1
Dinas teknis,Jl.  Jati baru,Cideng,Gambir,Jakarta Pusat,Bak Beton,60,Dinas teknis,8
Rw.012,Jl.setia kawan Rt.01,Duri pulo,Gambir,Jakarta Pusat,Bak Beton,18,PJKA,8
Rw.09,Jl.setia kawan ujung rt 03,Duri pulo,Gambir,Jakarta Pusat,Bak Beton,20,Pemda,6
Rw.04,Jl.gambir buntu,Gambir,Gambir,Jakarta Pusat,Bak Beton,8,Pemda,1
Perhubungan ,Jl. Abdul Muis,Gambir ,Gambir,Jakarta Pusat,Bak Beton,12,Kementerian perhubungan ,2
RS.  Budi kemuliaan,Jl.  Budi kemuliaan ,Gambir ,Gambir,Jakarta Pusat,Bak Beton,15,Rs.  Budi kemuliaan ,1
Rw.07 dan 08,Jl.binatu 1,Petojo utara,Gambir,Jakarta Pusat,Bak Beton,24,Pemda,6
Kementrian pertahanan ,Jl.  Tanah Abang timur,Gambir,Gambir ,Jakarta Pusat,Bak Beton,64,Kementerian pertahanan ,4
Sekretaris Negara ,Jl. Medan merdeka Utara ,Gambir ,Gambir ,Jakarta Pusat,Bak Beton,12,Pemerintah ,14
Kemenkominfo,Jl.  Abdul muis,Gambir ,Gambir ,Jakarta Pusat,Bak Beton,48,Kemenkominfo,2
Pasar Thomas ,Jl. Tanah Abang V,Petojo selatan ,Gambir ,Jakarta Pusat,Bak Beton,8,Pd pasar jaya,6
LPS gembrong,Jl.rawa selatan I,Kampung rawa,Johar baru,Jakarta Pusat,Bak Beton,30,Milik Pemda ,18
TPS RW. 03 Cikini,Jl. Raden Saleh II,Cikini,Menteng,Jakarta Pusat,Bak Beton,20,PU air,12
TPS SMP Negeri 1,Jl. Cikini raya,Cikini,Menteng,Jakarta Pusat,Bak Beton,6,Sekolah,3
TPS RW. 10 Menteng Tenggulun,Jl. Menteng Tenggulun,Menteng,Menteng,Jakarta Pusat,Bak Beton,30,Pinggir kali,10
TPS Kimia,Jl. Kimia,Pegangsaan,Menteng,Jakarta Pusat,Bak Beton,8,PU Air,5
Tps Rusun Benhil II,Jl. Lan 2 Pejompongan,Bendungan Hilir,Tanah Abang,Jakarta Pusat,Bak Beton,15,Milik rusun,7.5
Tps Rusun Benhil I,Jl. Penjernihan I,Bendungan Hilir,Tanah Abang,Jakarta Pusat,Bak Beton,18,Milik Dinas Perumahan,8
Pasar palmerah,Jl.Palmerah Selatan,Gelora,Tanah Abang,Jakarta Pusat,Bak Beton,48,Milik PD Pasar Jaya,16
Pasar UKM Lokbin Palmerah,Jl. Palmerah Barat Rt/Rw 01/02,Gelora,Tanah Abang,Jakarta Pusat,Bak Beton,18,Milik Pemerintah,16
Lps St. Tn Abang,Jl. Jati Baru,Kampung Bali,Tanah Abang,Jakarta Pusat,Bak Beton,36,Milik PJKA,6
Tps RSTA Rw 10,Jl. KH Mas Mansyur,Kebon Kacang,Tanah Abang,Jakarta Pusat,Bak Beton,10,Milik Dinas Perumahan,6
Pasar lontar,Jl.Sabeni Raya ,Kebon melati,Tanah Abang,Jakarta Pusat,Bak Beton,48,Milik PD Pasar Jaya,30
